A-site,B-site,X-site,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron,bandgap-PBE(eV)
CH3NH3,Si,Br,1.118908432,0.331632653,2.17,2.96816307,-15.735,1.98,1.42,-6.382000000000001,0.65,16.54584,5.53,1.3895211,18,12,8.15,2,0,11.81,2.96,3.04,36,1.2,1.96,8,6,3.364,6,10,0,0,1.323962
CH3NH3,Ca,Br,0.98660507,0.510204082,2.17,2.96816307,-15.735,1.17,3.0,-6.382000000000001,1.0,11.87172,25.0,0.02455,18,18,6.11,0,0,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,4.982655
CH3NH3,Sc,Br,1.007017588,0.479591837,2.17,2.96816307,-15.735,1.5,2.75,-6.382000000000001,0.94,12.79977,17.8,0.188,18,19,6.56,1,1,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,0.0
CH3NH3,Ti,Br,1.0355854629999999,0.43877551,2.17,2.96816307,-15.735,1.86,2.58,-6.382000000000001,0.86,13.5755,14.6,0.079,18,20,6.83,2,5,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,0.0
CH3NH3,Ge,Br,1.085632344,0.37244898,2.17,2.96816307,-15.735,1.99,1.56,-6.382000000000001,0.73,15.934610000000001,5.84,1.232712,18,30,7.9,2,10,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,8,10,0,0,1.485832
CH3NH3,As,Br,1.093764422,0.362244898,2.17,2.96816307,-15.735,2.27,1.415,-6.382000000000001,0.71,18.5892,4.31,0.804,18,31,9.81,3,10,11.81,2.96,3.04,36,1.2,1.96,8,13,3.364,8,10,0,0,0.0
CH3NH3,Sr,Br,0.930048091,0.602040816,2.17,2.96816307,-15.735,1.13,3.21,-6.382000000000001,1.18,11.0301,27.6,0.048,18,36,5.7,0,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,4.882422
CH3NH3,Y,Br,0.940531725,0.584183673,2.17,2.96816307,-15.735,1.41,2.94,-6.382000000000001,1.145,12.224,22.7,0.307,18,37,6.22,1,11,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0.0
CH3NH3,Zr,Br,0.9481659109999999,0.571428571,2.17,2.96816307,-15.735,1.7,2.825,-6.382000000000001,1.12,13.1,17.9,0.426,18,38,6.63,2,12,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0.0
CH3NH3,Nb,Br,0.9899494940000001,0.505102041,2.17,2.96816307,-15.735,2.03,2.79,-6.382000000000001,0.99,14.0,15.7,0.9159999999999999,18,39,6.76,3,13,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0.0
CH3NH3,Mo,Br,1.02110175,0.45918367299999996,2.17,2.96816307,-15.735,1.94,2.72,-6.382000000000001,0.9,16.16,12.8,0.748,18,40,7.09,4,14,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0.0
CH3NH3,Rh,Br,1.042982502,0.428571429,2.17,2.96816307,-15.735,1.99,2.52,-6.382000000000001,0.84,18.08,8.6,1.137,18,43,7.46,7,17,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0.0
