A-site,B-site,X-site,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron
NH2NH3,Sb,I,0.9142179389897079,0.5363636363636363,2.17,2.603313579,-12.982000000000001,2.14,1.765,-6.67,1.18,16.63,6.6,1.046,24,49,8.54,3,20,10.45,2.66,4.7,54,1.585,2.2,10,19,3.0589999999999997,10,20,0,0
NH2NH3,Sc,F,1.0902527463228706,0.706766917293233,2.17,2.603313579,-12.982000000000001,1.5,2.75,-6.67,0.94,12.79977,17.8,0.188,6,19,6.56,1,1,17.42,3.98,0.557,10,0.405,1.33,4,12,3.4010000000000002,6,0,0,0
NH2NH3,Sc,Cl,1.0233763596808942,0.5193370165745856,2.17,2.603313579,-12.982000000000001,1.5,2.75,-6.67,0.94,12.79977,17.8,0.188,11,19,6.56,1,1,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0
NH2NH3,Sc,Br,1.0070175883794625,0.47959183673469385,2.17,2.603313579,-12.982000000000001,1.5,2.75,-6.67,0.94,12.79977,17.8,0.188,18,19,6.56,1,1,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0
NH2NH3,Sc,I,0.9840944693583479,0.4272727272727272,2.17,2.603313579,-12.982000000000001,1.5,2.75,-6.67,0.94,12.79977,17.8,0.188,24,19,6.56,1,1,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0
NH2NH3,Si,F,1.2499362293701597,0.48872180451127817,2.17,2.603313579,-12.982000000000001,1.98,1.42,-6.67,0.65,16.54584,5.53,1.3895211,6,12,8.15,2,0,17.42,3.98,0.557,10,0.405,1.33,4,6,3.4010000000000002,6,0,0,0
NH2NH3,Si,Cl,1.144018288261162,0.35911602209944754,2.17,2.603313579,-12.982000000000001,1.98,1.42,-6.67,0.65,16.54584,5.53,1.3895211,11,12,8.15,2,0,12.97,3.16,2.18,18,1.01,1.81,6,6,3.613,6,0,0,0
NH2NH3,Si,Br,1.1189084315327362,0.3316326530612245,2.17,2.603313579,-12.982000000000001,1.98,1.42,-6.67,0.65,16.54584,5.53,1.3895211,18,12,8.15,2,0,11.81,2.96,3.04,36,1.2,1.96,8,6,3.364,6,10,0,0
NH2NH3,Si,I,1.0842303978193728,0.2954545454545454,2.17,2.603313579,-12.982000000000001,1.98,1.42,-6.67,0.65,16.54584,5.53,1.3895211,24,12,8.15,2,0,10.45,2.66,4.7,54,1.585,2.2,10,6,3.0589999999999997,6,20,0,0
NH2NH3,Sn,F,1.0101525445522106,0.8421052631578948,2.17,2.603313579,-12.982000000000001,1.96,1.88,-6.67,1.12,14.6322,6.28,1.112067,6,48,7.34,2,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,10,0,0,0
NH2NH3,Sn,Cl,0.9605068222260952,0.6187845303867404,2.17,2.603313579,-12.982000000000001,1.96,1.88,-6.67,1.12,14.6322,6.28,1.112067,11,48,7.34,2,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,10,0,0,0
NH2NH3,Sn,Br,0.9481659111365068,0.5714285714285715,2.17,2.603313579,-12.982000000000001,1.96,1.88,-6.67,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0
